Type of Alert,Date,Time,Zone,Latitude,Longitude,city,state,year,month,yearmonth
Single Gunshot,9/14/2012,21:00:00,KansasCityMO,39.048,-94.561,Kansas City,MO,2012,9,153
Multiple Gunshots,9/14/2012,22:00:00,KansasCityMO,39.044,-94.557,Kansas City,MO,2012,9,153
Multiple Gunshots,9/15/2012,2:00:00,KansasCityMO,39.034,-94.559,Kansas City,MO,2012,9,153
Multiple Gunshots,9/15/2012,2:00:00,KansasCityMO,39.038,-94.575,Kansas City,MO,2012,9,153
Multiple Gunshots,9/15/2012,2:00:00,KansasCityMO,39.037,-94.566,Kansas City,MO,2012,9,153
Single Gunshot,9/15/2012,3:00:00,KansasCityMO,39.044,-94.558,Kansas City,MO,2012,9,153
Single Gunshot,9/15/2012,18:00:00,KansasCityMO,39.044,-94.553,Kansas City,MO,2012,9,153
Single Gunshot,9/15/2012,19:00:00,KansasCityMO,39.046,-94.565,Kansas City,MO,2012,9,153
Multiple Gunshots,9/15/2012,22:00:00,KansasCityMO,39.064,-94.554,Kansas City,MO,2012,9,153
Single Gunshot,9/16/2012,1:00:00,KansasCityMO,39.053,-94.553,Kansas City,MO,2012,9,153
Multiple Gunshots,9/16/2012,1:00:00,KansasCityMO,39.033,-94.562,Kansas City,MO,2012,9,153
Multiple Gunshots,9/16/2012,1:00:00,KansasCityMO,39.06,-94.546,Kansas City,MO,2012,9,153
Single Gunshot,9/16/2012,2:00:00,KansasCityMO,39.045,-94.553,Kansas City,MO,2012,9,153
Multiple Gunshots,9/16/2012,2:00:00,KansasCityMO,39.064,-94.564,Kansas City,MO,2012,9,153
Multiple Gunshots,9/16/2012,2:00:00,KansasCityMO,39.064,-94.564,Kansas City,MO,2012,9,153
Single Gunshot,9/16/2012,2:00:00,KansasCityMO,39.052,-94.565,Kansas City,MO,2012,9,153
Multiple Gunshots,9/16/2012,10:00:00,KansasCityMO,39.045,-94.573,Kansas City,MO,2012,9,153
Multiple Gunshots,9/16/2012,13:00:00,KansasCityMO,39.063,-94.567,Kansas City,MO,2012,9,153
Single Gunshot,9/16/2012,20:00:00,KansasCityMO,39.061,-94.543,Kansas City,MO,2012,9,153
Single Gunshot,9/16/2012,20:00:00,KansasCityMO,39.06,-94.546,Kansas City,MO,2012,9,153
Single Gunshot,9/16/2012,20:00:00,KansasCityMO,39.06,-94.546,Kansas City,MO,2012,9,153
Single Gunshot,9/16/2012,20:00:00,KansasCityMO,39.061,-94.543,Kansas City,MO,2012,9,153
